日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2019-04-30,'399967,中证军工,7852.3166,7939.9598,7772.9912,7800.3531,7784.3323,67.9843,0.8733,395490034,5222439642.4
2019-04-29,'399967,中证军工,7784.3323,8055.7726,7776.3943,8025.7333,8010.7608,-226.4285,-2.8266,513166990,6584734845.45
2019-04-26,'399967,中证军工,8010.7608,8121.9447,8007.9497,8024.8544,8051.4383,-40.6775,-0.5052,452891076,6472902429.3
2019-04-25,'399967,中证军工,8051.4383,8370.3741,8050.9905,8369.989,8390.152,-338.7137,-4.037,559826575,7246843794.5
2019-04-24,'399967,中证军工,8390.152,8399.7626,8228.4324,8329.1402,8314.6185,75.5335,0.9084,463176223,6269550873.36
2019-04-23,'399967,中证军工,8314.6185,8611.1367,8290.947,8610.4934,8621.1143,-306.4958,-3.5552,683755695,8920536020.27
2019-04-22,'399967,中证军工,8621.1143,8761.206,8597.107,8744.1854,8713.9377,-92.8234,-1.0652,607973024,8167780734.59
2019-04-19,'399967,中证军工,8713.9377,8726.2613,8578.8117,8704.1939,8734.9789,-21.0412,-0.2409,631237276,8354625516.22
2019-04-18,'399967,中证军工,8734.9789,8819.2083,8635.9025,8671.7434,8677.6188,57.3601,0.661,828271570,10513665676.2
2019-04-17,'399967,中证军工,8677.6188,8727.7435,8599.5064,8649.4042,8651.1872,26.4316,0.3055,586228311,8129961481.79
2019-04-16,'399967,中证军工,8651.1872,8651.1872,8367.9713,8479.4249,8517.3725,133.8147,1.5711,624279821,8785491602.97
2019-04-15,'399967,中证军工,8517.3725,8749.1943,8513.3625,8658.1246,8544.6636,-27.2911,-0.3194,627804342,8791169629.33
2019-04-12,'399967,中证军工,8544.6636,8586.1725,8465.6576,8573.2538,8582.3444,-37.6808,-0.4391,543901964,7105360159.35
2019-04-11,'399967,中证军工,8582.3444,8795.9218,8581.6562,8749.0109,8751.8139,-169.4695,-1.9364,688331521,9512907702.59
2019-04-10,'399967,中证军工,8751.8139,8816.333,8700.572,8790.7198,8820.5309,-68.717,-0.7791,720713017,10217077410.6
2019-04-09,'399967,中证军工,8820.5309,8860.5591,8741.4361,8846.2905,8839.7228,-19.1919,-0.2171,736642465,9778894280.03
2019-04-08,'399967,中证军工,8839.7228,9153.5728,8758.1,9122.9749,8977.2681,-137.5453,-1.5322,1115525036,14513950550.0
2019-04-04,'399967,中证军工,8977.2681,9044.6976,8858.6996,8967.1477,8958.6322,18.6359,0.208,1173168655,15404460636.9
2019-04-03,'399967,中证军工,8958.6322,8988.8711,8778.7622,8841.5926,8899.166,59.4662,0.6682,1125007143,14183621315.1
2019-04-02,'399967,中证军工,8899.166,9131.9749,8850.5475,8971.2176,8850.6677,48.4983,0.548,1677802155,20037522253.9
2019-04-01,'399967,中证军工,8850.6677,8868.823,8573.5453,8573.5453,8451.6545,399.0132,4.7211,1319599527,16430319234.9
2019-03-29,'399967,中证军工,8451.6545,8452.153,8206.7304,8229.2817,8119.8829,331.7716,4.0859,1049781737,12848851933.6
2019-03-28,'399967,中证军工,8119.8829,8353.2754,8108.122,8187.8995,8186.6778,-66.7949,-0.8159,698847857,9060305816.93
2019-03-27,'399967,中证军工,8186.6778,8336.3348,8057.1155,8310.9029,8262.4318,-75.754,-0.9168,732837472,9959858629.72
2019-03-26,'399967,中证军工,8262.4318,8717.3785,8256.9222,8714.8619,8691.1454,-428.7136,-4.9328,1321085573,17390869465.5
2019-03-25,'399967,中证军工,8691.1454,8890.7982,8268.524,8282.4204,8333.7968,357.3486,4.2879,1825737122,22825804919.9
